Device: cuda
Loaded vocab (544 tokens) <- /content/visual-latex-decompiler/vocab.pkl
[FormulaDataset] 75275 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_train
[FormulaDataset] 8370 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_val
Model type: transformer
Parameters: 32,584,096
Looking for checkpoint: /content/visual-latex-decompiler/checkpoints/model_best_transformer.pt exists: True
  ep 7 step 800 loss=1.6565 tf=0.87
  ep 7 step 850 loss=1.6561 tf=0.87
  ep 7 step 900 loss=1.6563 tf=0.87
  ep 7 step 950 loss=1.6565 tf=0.87
  ep 7 step 1000 loss=1.6557 tf=0.87
  ep 7 step 1050 loss=1.6560 tf=0.87
  ep 7 step 1100 loss=1.6551 tf=0.87
  ep 7 step 1150 loss=1.6550 tf=0.87
  ep 7 step 1200 loss=1.6554 tf=0.87
  ep 7 step 1250 loss=1.6551 tf=0.87
  ep 7 step 1300 loss=1.6554 tf=0.87
  ep 7 step 1350 loss=1.6556 tf=0.87
  ep 7 step 1400 loss=1.6567 tf=0.87
  ep 7 step 1450 loss=1.6563 tf=0.87
  ep 7 step 1500 loss=1.6566 tf=0.87
  ep 7 step 1550 loss=1.6568 tf=0.87
  ep 7 step 1600 loss=1.6565 tf=0.87
  ep 7 step 1650 loss=1.6564 tf=0.87
  ep 7 step 1700 loss=1.6572 tf=0.87
  ep 7 step 1750 loss=1.6571 tf=0.87
  ep 7 step 1800 loss=1.6571 tf=0.87
  ep 7 step 1850 loss=1.6570 tf=0.87
  ep 7 step 1900 loss=1.6572 tf=0.87
  ep 7 step 1950 loss=1.6572 tf=0.87
  ep 7 step 2000 loss=1.6575 tf=0.87
  ep 7 step 2050 loss=1.6575 tf=0.87
  ep 7 step 2100 loss=1.6578 tf=0.87
  ep 7 step 2150 loss=1.6577 tf=0.87
  ep 7 step 2200 loss=1.6576 tf=0.87
  ep 7 step 2250 loss=1.6578 tf=0.87
  ep 7 step 2300 loss=1.6576 tf=0.87
  ep 7 step 2350 loss=1.6579 tf=0.87
Epoch 7/20 tl=1.6579 vl=1.5797 BLEU=0.0558 ED=0.8017 lr=0.001000 1323s
  saved: /content/visual-latex-decompiler/checkpoints/model_best_transformer.pt
  synced to Drive!
  ep 8 step 50 loss=1.6177 tf=0.85
  ep 8 step 100 loss=1.6242 tf=0.85
  ep 8 step 150 loss=1.6298 tf=0.85
  ep 8 step 200 loss=1.6333 tf=0.85
  ep 8 step 250 loss=1.6350 tf=0.85
  ep 8 step 300 loss=1.6365 tf=0.85
  ep 8 step 350 loss=1.6358 tf=0.85
  ep 8 step 400 loss=1.6364 tf=0.85
  ep 8 step 450 loss=1.6380 tf=0.85
  ep 8 step 500 loss=1.6388 tf=0.85
  ep 8 step 550 loss=1.6373 tf=0.85
  ep 8 step 600 loss=1.6389 tf=0.85
  ep 8 step 650 loss=1.6389 tf=0.85
  ep 8 step 700 loss=1.6392 tf=0.85
  ep 8 step 750 loss=1.6399 tf=0.85
  ep 8 step 800 loss=1.6400 tf=0.85
  ep 8 step 850 loss=1.6399 tf=0.85
  ep 8 step 900 loss=1.6390 tf=0.85
  ep 8 step 950 loss=1.6389 tf=0.85
  ep 8 step 1000 loss=1.6393 tf=0.85
  ep 8 step 1050 loss=1.6396 tf=0.85
  ep 8 step 1100 loss=1.6398 tf=0.85
  ep 8 step 1150 loss=1.6399 tf=0.85
  ep 8 step 1200 loss=1.6400 tf=0.85
